Student_ID,Student_name,Age,Gender,Grade,School,SocialCategory,Area,Attendance_percentage,SocialEconomic status,distance_to_school,previous_year_result,scholarship_status,dropout_score,dropout,DropoutReason
S0456,Anjali Singh,14,female,8,government,OBC,rural,80.5,Low,2.69,pass,no,16.63065365,no,
S0902,Neha Naik,16,female,10,government,general,rural,59.9,Medium,3.33,fail,no,21.94545601,yes,Other
S0198,Pooja Gupta,15,male,9,private aided,general,rural,73.2,Medium,0.5,pass,no,12.00821356,no,
S0304,Sneha Kumar,14,male,8,private unaided,OBC,urban,64.1,Medium,3.01,pass,no,16.33869848,no,
S1819,Siddharth Kumar,14,female,8,private unaided,general,rural,70,Low,0.02,fail,yes,20.96955935,yes,Household Work
S0481,Pooja Patel,15,female,9,private aided,general,urban,63,Medium,0.06,pass,no,10.66723836,no,
S0087,Kavya Iyer,15,female,9,government,ST,rural,55.7,Low,0.15,fail,no,28.90613595,yes,Household Work
S0053,Vikram Joseph,15,female,9,private unaided,OBC,urban,86,Medium,2.44,pass,yes,15.95429411,no,
S0330,Rahul Iyer,16,female,10,government,SC,urban,69.9,Low,1.11,pass,no,12.7353643,no,
S0825,Arjun Sharma,16,male,10,government,general,rural,73,High,5.63,pass,no,12.41855988,no,
S0033,Vikram Sharma,14,female,8,government,SC,rural,66.9,Low,0.02,pass,yes,11.57061025,no,
S1104,Sonal Patel,15,female,9,private aided,SC,urban,70.3,Medium,2.37,pass,no,12.7899546,no,
S1602,Vikram Das,16,female,10,government,SC,urban,71.7,High,0.33,pass,no,10.82626573,no,
S0850,Riya Joseph,15,female,9,private unaided,general,rural,69.8,Medium,8.37,pass,yes,19.36919024,yes,Financial Issues
S0327,Anjali Naik,14,male,8,private aided,OBC,rural,79.1,Low,0.9,fail,no,22.89340002,yes,Financial Issues
S1413,Divya Reddy,15,male,9,private aided,general,urban,71.7,Low,0.11,pass,no,11.83707352,no,
S1687,Divya Iyer,14,female,8,private aided,ST,rural,73.5,Medium,3.44,pass,no,12.41001057,no,
S0356,Divya Sharma,14,male,8,private aided,OBC,urban,93,High,4.41,pass,yes,11.32245973,no,
S1686,Priya Das,14,male,8,private aided,OBC,rural,78.5,Low,0.59,fail,no,24.37966107,yes,Household Work
S1437,Manish Sharma,15,female,9,private unaided,OBC,rural,66.5,Low,0.45,fail,no,22.52128747,yes,Lack of Interest
S0592,Neha Gupta,14,female,8,private unaided,ST,urban,77.4,Low,0.09,pass,yes,9.942539726,no,
S0034,Sonal Iyer,16,female,10,government,general,urban,82.3,Medium,2.53,pass,no,10.53174603,no,
S0790,Rahul Naik,15,female,9,private unaided,OBC,urban,87.5,High,0.86,pass,no,17.41621831,no,
S0717,Manish Naik,16,male,10,private unaided,OBC,urban,77.8,High,3.18,pass,no,14.09372682,no,
S0070,Karan Joseph,15,male,9,private aided,OBC,urban,100,High,0.49,pass,no,12.6378698,no,
S0524,Maya Sharma,14,male,8,private unaided,OBC,rural,70.3,High,2.83,pass,no,9.233086279,no,
S0892,Ananya Das,15,male,9,government,OBC,urban,79.4,Low,2.14,pass,no,15.61128946,no,
S0919,Pooja Gupta,16,male,10,private unaided,OBC,urban,67.2,High,0.27,pass,no,15.20197117,no,
S0795,Manish Patel,15,male,9,private aided,OBC,rural,90.6,Medium,0.28,fail,yes,20.13720217,yes,Child Labour
S1786,Aditya Joseph,16,male,10,private unaided,general,rural,70,Medium,0.86,pass,yes,13.30760444,no,
S1068,Vikram Iyer,16,female,10,government,ST,rural,84.4,Medium,0.1,fail,no,23.76245309,yes,Lack of Interest
S0961,Kavya Patel,15,female,9,private unaided,ST,urban,79.8,Medium,1.51,pass,no,15.80016425,no,
S0857,Manish Gupta,15,female,9,private unaided,OBC,urban,68.4,Low,1.54,pass,no,17.63730961,no,
S1606,Kavya Das,14,male,8,government,OBC,rural,56.8,Medium,1.63,fail,no,23.30764254,yes,Child Labour
S1483,Pooja Das,16,female,10,private aided,SC,rural,80.5,High,6.09,pass,no,17.67418979,no,
S0222,Sonal Das,15,male,9,private unaided,OBC,rural,65.8,Medium,3.47,pass,no,18.47508476,yes,Early Marriage
S1219,Karan Das,15,male,9,private aided,OBC,urban,75.3,High,4.94,pass,no,16.50517542,no,
S0733,Ananya Joseph,16,male,10,private unaided,general,urban,77.3,Low,0.2,pass,no,13.0547335,no,
S0555,Sonal Sharma,15,female,9,private unaided,SC,urban,79.1,High,2.21,pass,no,14.97529484,no,
S0666,Ananya Gupta,15,male,9,private aided,general,rural,64.8,Low,2.38,pass,no,10.87027441,no,
S0654,Karan Das,14,male,8,private aided,OBC,rural,61.2,Medium,4.29,fail,no,16.61474667,no,
S1445,Sonal Das,15,female,9,private unaided,OBC,rural,97.5,Low,1.82,pass,no,20.75807238,yes,Child Labour
S1486,Aditya Das,16,male,10,private unaided,general,rural,91.9,Medium,4.45,pass,no,14.68633638,no,
S1394,Ananya Kumar,15,female,9,private unaided,SC,urban,80.7,Low,1.18,pass,no,15.28877879,no,
S0281,Sneha Gupta,14,female,8,private aided,SC,rural,81.9,Low,2.87,fail,no,21.33175148,yes,Lack of Interest
S0017,Priya Das,15,male,9,private aided,general,urban,67.8,Medium,1.73,pass,no,12.0930356,no,
S0303,Siddharth Das,16,female,10,private aided,ST,urban,72.1,High,5.23,pass,no,10.5964216,no,
S1239,Sonal Joseph,15,male,9,private aided,ST,urban,57.9,Medium,0.08,pass,no,14.98871833,no,
S0777,Ishaan Kumar,16,female,10,government,SC,rural,68.1,Low,0.08,pass,no,14.66072465,no,
S0133,Sneha Sharma,14,male,8,private unaided,OBC,rural,65.7,Medium,1.3,pass,no,19.10037983,yes,Early Marriage
S0628,Sneha Patel,14,female,8,government,SC,rural,69.9,Medium,1.84,fail,no,20.63557327,yes,Early Marriage
S0474,Karan Singh,14,male,8,private unaided,general,urban,87.8,Medium,2.41,pass,no,12.47639972,no,
S1366,Aditya Naik,14,female,8,private aided,OBC,urban,85,Low,5.03,pass,no,19.55349058,yes,Household Work
S0111,Neha Iyer,16,female,10,government,general,urban,62.1,Medium,4.23,pass,no,15.77347033,no,
S1170,Sneha Iyer,14,female,8,private unaided,OBC,urban,77.3,High,3.61,pass,no,14.30887135,no,
S1886,Siddharth Iyer,14,female,8,private unaided,SC,rural,94.1,Low,10.92,pass,no,20.98192492,yes,Early Marriage
S1329,Siddharth Singh,16,male,10,private aided,OBC,rural,83.4,Medium,0.79,pass,yes,9.819226468,no,
S0497,Sonal Singh,14,male,8,private unaided,general,rural,68.4,Medium,1.01,pass,no,10.07988583,no,
S0534,Anjali Das,15,male,9,private unaided,OBC,urban,77.3,Medium,1.85,pass,no,16.71960297,no,
S1940,Ananya Das,15,male,9,private unaided,general,urban,94.1,Medium,1.65,pass,no,18.80532064,yes,Early Marriage
S1382,Kavya Sharma,15,female,9,government,general,urban,84.9,Low,0.85,pass,no,16.24678166,no,
S0596,Aditya Sharma,15,male,9,government,SC,urban,68.1,Medium,1.03,pass,no,14.15506041,no,
S0973,Siddharth Patel,14,male,8,private aided,OBC,urban,82.6,High,0.45,pass,yes,7.644262899,no,
S1245,Maya Singh,16,male,10,government,general,urban,77.3,Medium,5.96,pass,no,9.725285085,no,
S1661,Priya Patel,14,male,8,private aided,general,urban,87,High,4.11,pass,no,11.53678679,no,
S1985,Siddharth Naik,14,female,8,private aided,OBC,urban,68,Low,1.66,pass,no,12.48113752,no,
S0100,Neha Das,15,female,9,private aided,OBC,urban,84.4,Medium,2.06,pass,no,13.63469263,no,
S1494,Rahul Kumar,14,male,8,government,SC,rural,79.8,Medium,5.04,fail,no,22.32993027,yes,Child Labour
S0521,Anjali Gupta,16,female,10,private unaided,SC,urban,73,High,0.61,pass,no,11.72411257,no,
S0957,Priya Iyer,15,male,9,private unaided,OBC,rural,70.3,Low,2.39,pass,no,15.91001322,no,
S1998,Kavya Singh,16,male,10,private aided,SC,rural,74.6,Medium,2.17,pass,yes,12.36524407,no,
S0445,Maya Das,15,female,9,government,OBC,urban,74.6,Medium,1.75,pass,yes,18.78675631,yes,Other
S0533,Maya Reddy,14,male,8,private unaided,OBC,urban,69.6,Low,0.54,pass,yes,17.39316974,no,
S0897,Ishaan Joseph,15,male,9,private unaided,general,urban,75.8,High,4.14,pass,no,13.94406904,no,
S1360,Manish Sharma,14,male,8,private aided,OBC,urban,57.6,Medium,0.51,fail,no,23.85194862,yes,Household Work
S1443,Aarav Iyer,15,male,9,private unaided,OBC,rural,87.3,Medium,2.15,fail,no,26.56282116,yes,Financial Issues
S1448,Sneha Gupta,14,male,8,private unaided,general,urban,75,Medium,1.5,pass,no,11.54317178,no,
S0881,Vikram Das,15,male,9,private unaided,general,rural,81.2,Low,2.45,pass,no,15.41382037,no,
S1393,Aarav Singh,16,male,10,government,SC,rural,81,Low,10.8,pass,no,17.65045767,no,
S0708,Manish Sharma,15,male,9,private aided,SC,urban,58.6,Medium,1.03,pass,no,14.37441153,no,
S1361,Neha Joseph,16,female,10,private unaided,OBC,rural,77.5,Medium,3.7,fail,yes,22.326162,yes,Other
S0669,Aarav Iyer,16,female,10,private unaided,ST,rural,94.7,Low,3.86,fail,yes,26.15487941,yes,Early Marriage
S1436,Anjali Naik,15,male,9,private unaided,SC,urban,86,High,0.26,pass,no,18.39021927,yes,Other
S0871,Siddharth Kumar,16,male,10,private aided,OBC,rural,62.7,Medium,4.04,pass,no,11.67281929,no,
S0495,Sonal Sharma,14,female,8,private unaided,OBC,rural,92,Low,4.76,pass,no,17.99731441,no,
S1273,Sneha Iyer,16,female,10,private aided,OBC,urban,98.7,High,1.09,pass,no,11.87301029,no,
S0348,Manish Reddy,14,male,8,private unaided,general,rural,68.9,Low,7.49,pass,no,17.18387941,no,
S0215,Kavya Reddy,16,female,10,private unaided,general,urban,73.7,Low,0.5,pass,no,16.07940549,no,
S0719,Divya Kumar,16,female,10,government,general,urban,51.1,High,0.61,fail,no,26.97885197,yes,Child Labour
S1369,Sonal Naik,16,female,10,private unaided,general,urban,61.5,Medium,1.37,pass,no,14.4467834,no,
S1658,Riya Patel,16,female,10,private aided,general,rural,92.7,Medium,1.5,pass,yes,8.592974517,no,
S0589,Priya Sharma,14,male,8,private unaided,general,urban,90.8,Medium,0.9,pass,no,12.85261922,no,
S1195,Manish Naik,15,male,9,government,OBC,urban,71.1,High,0.69,pass,no,11.32747808,no,
S0400,Maya Joseph,15,female,9,private aided,OBC,rural,80.9,High,1.09,pass,no,14.04501442,no,
S0611,Riya Gupta,15,male,9,private unaided,general,rural,92.7,Medium,5.28,fail,yes,24.35245223,yes,Early Marriage
S1269,Pooja Gupta,14,female,8,private unaided,OBC,rural,75.2,High,1,pass,no,11.05865379,no,
S1843,Sonal Singh,16,female,10,private unaided,general,rural,85.6,Low,0.5,pass,no,14.62925504,no,
S0574,Aditya Das,16,male,10,private unaided,OBC,urban,61.1,High,1.82,pass,no,17.13945004,no,
S0191,Karan Joseph,14,female,8,government,general,rural,65.2,Medium,1.39,pass,no,8.793703036,no,
S1600,Priya Joseph,14,female,8,private aided,SC,urban,70.6,Medium,0.6,pass,no,10.45159798,no,
S0372,Aditya Patel,16,male,10,private unaided,ST,urban,55.1,Medium,3.79,pass,yes,20.33122611,yes,Household Work
S0715,Anjali Patel,16,female,10,private unaided,OBC,rural,75.4,Low,0.28,pass,no,13.57551252,no,
S1383,Ananya Naik,15,male,9,private unaided,OBC,urban,96,Medium,1.52,pass,no,16.36829545,no,
S1098,Ishaan Gupta,15,female,9,private aided,general,rural,98.5,Medium,0.9,pass,no,13.44322727,no,
S1865,Divya Sharma,15,female,9,private aided,SC,rural,96.1,Low,3.86,pass,no,15.82537186,no,
S1180,Karan Naik,16,female,10,private aided,general,urban,89.4,Medium,0.67,pass,no,11.79881483,no,
S1362,Ananya Sharma,16,female,10,government,ST,rural,75.8,Low,0.32,pass,no,13.86479313,no,
S0103,Neha Naik,15,female,9,private unaided,OBC,urban,72.1,Medium,0.46,pass,no,16.34035693,no,
S0849,Sonal Naik,14,female,8,private aided,general,rural,64.4,Low,1.46,pass,no,10.66743444,no,
S1468,Neha Das,16,male,10,private unaided,general,urban,75.7,Low,3.15,pass,no,14.2697664,no,
S0050,Arjun Gupta,15,male,9,private aided,OBC,rural,79.3,Medium,5.63,pass,no,16.22936564,no,
S1988,Divya Gupta,15,female,9,private aided,OBC,urban,62.4,High,1.29,pass,no,16.96384556,no,
S1086,Siddharth Naik,15,female,9,government,SC,urban,80.4,High,0.62,pass,no,7.15734815,no,
S0335,Aarav Naik,16,female,10,private unaided,general,urban,75.2,High,0.4,pass,no,11.77609754,no,
S0405,Karan Iyer,15,male,9,private aided,ST,rural,82.1,Medium,0.05,pass,yes,14.31366755,no,
S0201,Priya Patel,16,female,10,private unaided,SC,urban,77.9,Low,0.11,pass,no,14.13149934,no,
S1046,Arjun Das,14,male,8,government,ST,urban,75.2,Low,3.67,pass,yes,17.77238382,no,
S0682,Anjali Sharma,14,female,8,private unaided,ST,rural,61.8,Low,3.1,fail,yes,23.05108067,yes,Lack of Interest
S1906,Sonal Naik,16,male,10,private aided,SC,urban,89.3,Low,1.29,pass,yes,13.21707772,no,
S0939,Pooja Gupta,15,female,9,private aided,SC,rural,63.5,Low,2.32,fail,no,23.86333554,yes,Early Marriage
S1346,Aarav Singh,14,male,8,private aided,OBC,rural,54.5,Low,1.62,fail,no,30.52958104,yes,Financial Issues
S0067,Siddharth Joseph,16,female,10,private aided,general,urban,52,Low,0.5,pass,yes,19.6042811,yes,Early Marriage
S1119,Kavya Gupta,14,female,8,private aided,OBC,rural,82.1,Medium,3.94,pass,no,14.674521,no,
S0698,Divya Das,15,female,9,private unaided,ST,urban,66.7,Medium,0.48,pass,no,15.95933693,no,
S1185,Kavya Kumar,16,female,10,private unaided,OBC,rural,69.6,Low,6.91,pass,yes,17.06595641,no,
S1696,Maya Joseph,14,male,8,private unaided,general,urban,64.7,Medium,0.08,pass,no,12.44577896,no,
S1569,Siddharth Reddy,16,male,10,private aided,OBC,rural,72.9,High,1.25,pass,no,10.08475903,no,
S0972,Aditya Joseph,16,male,10,private unaided,OBC,rural,77.2,Medium,5.81,pass,no,18.82458614,yes,Lack of Interest
S0494,Divya Iyer,15,female,9,government,OBC,urban,89.3,Low,5.22,pass,no,25.21130889,yes,Child Labour
S0563,Ananya Das,15,female,9,private unaided,ST,rural,76.5,Low,1.25,pass,yes,16.9146025,no,
S0635,Manish Reddy,16,female,10,private aided,SC,urban,74.1,Medium,1.14,fail,no,20.30074939,yes,Lack of Interest
S0735,Kavya Sharma,14,male,8,government,OBC,urban,83.5,Medium,0.06,fail,no,23.80426203,yes,Child Labour
S1100,Neha Kumar,16,female,10,government,general,urban,73.7,Medium,1.17,pass,yes,12.79881428,no,
S1327,Vikram Das,15,male,9,private aided,SC,urban,81,High,0.08,pass,no,13.48556443,no,
S1251,Riya Gupta,15,male,9,private unaided,SC,urban,63.5,Medium,1.25,pass,no,14.8745065,no,
S1894,Ananya Iyer,14,female,8,private unaided,general,rural,54.8,Medium,8.59,fail,no,35.48033859,yes,Early Marriage
S1017,Priya Sharma,16,male,10,government,general,urban,69.8,High,5.34,pass,no,11.06117718,no,
S1763,Manish Reddy,15,female,9,private unaided,general,rural,52.1,Medium,0.12,fail,no,29.18191758,yes,Household Work
S0243,Ishaan Kumar,15,male,9,government,OBC,urban,76.4,Medium,0.39,fail,no,22.75532959,yes,Other
S1073,Ananya Patel,15,female,9,private aided,OBC,rural,60.2,Low,17.7,pass,no,24.73562183,yes,Household Work
S0507,Riya Reddy,15,male,9,private unaided,OBC,urban,74.6,Medium,0.13,pass,no,17.02780048,no,
S0927,Sneha Sharma,14,male,8,private aided,general,rural,78.6,Medium,6.91,pass,no,10.70695412,no,
S1453,Pooja Sharma,15,male,9,private aided,OBC,urban,85.3,High,0.34,pass,no,14.5509653,no,
S0415,Sneha Joseph,15,male,9,private unaided,OBC,urban,68.5,Medium,3.04,pass,no,21.30455022,yes,Lack of Interest
S0606,Vikram Naik,14,male,8,government,general,urban,87.6,Medium,1.94,fail,no,20.28233646,yes,Child Labour
S0491,Aarav Gupta,14,female,8,private aided,OBC,urban,67.3,Medium,0.37,pass,yes,14.03686974,no,
S1471,Aarav Reddy,14,female,8,government,general,urban,67.7,Medium,0.71,pass,no,15.530173,no,
S1561,Manish Singh,15,female,9,government,ST,rural,82.6,Low,1.35,fail,no,24.59163958,yes,Other
S1392,Vikram Singh,14,female,8,private aided,general,rural,77.9,Low,7.29,pass,no,18.00412364,no,
S1006,Arjun Reddy,15,male,9,private unaided,general,rural,91.5,High,2.34,pass,no,14.56480766,no,
S0463,Ananya Reddy,15,male,9,private aided,general,urban,86.3,Medium,0.06,pass,yes,10.72433242,no,
S1962,Karan Das,15,female,9,private aided,general,rural,74.2,Medium,0.78,pass,no,9.080060438,no,
S0529,Priya Singh,14,male,8,private aided,SC,rural,78,High,13.19,pass,yes,20.02134935,yes,Household Work
S1489,Manish Singh,15,male,9,private unaided,ST,urban,78.6,Low,3.58,fail,yes,27.45722847,yes,Lack of Interest
S1262,Priya Iyer,15,female,9,private aided,general,urban,72.8,Medium,0.07,pass,no,11.79649516,no,
S0754,Sneha Sharma,14,male,8,private aided,general,rural,59.3,Medium,0.63,fail,no,20.63191101,yes,Other
S0340,Riya Joseph,16,female,10,private aided,SC,urban,88.7,Medium,2.37,pass,no,9.055995726,no,
S1000,Anjali Singh,16,male,10,private unaided,SC,urban,77.9,Low,3.61,fail,no,24.08368655,yes,Child Labour
S1420,Manish Joseph,15,male,9,private aided,OBC,urban,89.9,Low,0.65,pass,yes,11.66820424,no,
S1427,Divya Kumar,15,female,9,private aided,OBC,urban,79.4,Medium,1.69,pass,no,12.66806714,no,
S0742,Vikram Kumar,14,male,8,private unaided,OBC,urban,100,Medium,1.03,pass,yes,10.91366429,no,
S1280,Divya Naik,14,male,8,private unaided,ST,rural,74.9,High,0.82,fail,no,21.48147757,yes,Lack of Interest
S0066,Pooja Singh,14,female,8,private unaided,SC,rural,74.1,Medium,1.16,pass,no,15.03529438,no,
S0253,Sneha Naik,15,female,9,private unaided,ST,urban,87.7,Medium,0.75,pass,no,15.7694275,no,
S1246,Kavya Singh,14,male,8,government,OBC,urban,67.1,Medium,0.32,pass,no,13.42036099,no,
S0707,Pooja Sharma,15,female,9,private unaided,OBC,rural,68.3,High,3.61,pass,no,18.41126415,yes,Lack of Interest
S0113,Sonal Reddy,15,female,9,private unaided,SC,urban,72.3,Medium,0.02,pass,no,16.72476051,no,
S0045,Aditya Reddy,16,male,10,private unaided,general,rural,74.6,High,2.96,pass,no,12.49828993,no,
S0625,Ishaan Kumar,14,male,8,private unaided,ST,urban,75.9,Low,0.62,pass,yes,18.5488154,yes,Lack of Interest
S1531,Sneha Das,16,female,10,government,OBC,urban,70.8,Medium,1.84,pass,yes,15.66659,no,
S0656,Manish Singh,15,female,9,private aided,OBC,urban,78.9,Medium,2.29,pass,yes,13.17189208,no,
S0772,Pooja Iyer,15,male,9,government,ST,urban,57.2,High,0.83,fail,no,26.78060578,yes,Other
S0886,Priya Naik,14,male,8,private unaided,OBC,rural,80.6,Low,0.58,pass,yes,16.09828607,no,
S1031,Neha Patel,14,female,8,private aided,general,urban,66.5,High,0.82,pass,no,9.06547733,no,
S1096,Vikram Joseph,15,female,9,private aided,OBC,rural,64,Low,2.06,pass,no,16.22723534,no,
S0077,Aditya Joseph,16,female,10,private unaided,general,urban,63.1,Medium,0.06,pass,no,13.67888228,no,
